K,ELE
143800,114
143900,109
144000,106
144100,117
144200,103
144300,115
144400,121
144500,108
144600,115
144700,122
144800,125
144900,126
145000,127
145100,127
145200,128
145300,134
145400,137
145500,141
145600,148
145700,148
145800,148
145900,146
146000,144
146100,141
146200,141
146300,136
146400,144
146500,139
146600,137
146700,130
146800,129
146900,126
147000,124
147100,123
147200,121
147300,121
147400,119
147500,115
147600,115
147700,118
147800,119
147900,118
148000,117
148100,113
148200,109
148300,108
148400,107
148500,105
148600,103
148700,97
148800,87
148900,86
149000,93
149100,101
149200,109
149300,114
149400,115
149500,114
149600,113
149700,113
149800,111
149900,111
150000,109
150100,109
150200,110
150300,111
150400,111
150500,111
150600,113
150700,115
150800,120
150900,120
151000,123
151100,135
151200,137
